Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,Day.Sum
07/30/2013,12,0,0,12,4,10,2,0,14,0,0,54
07/31/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/04/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/05/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/06/2013,6,6,6,6,6,8,6,8,8,80,0,140
08/07/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/11/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/12/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/13/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/14/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/15/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/16/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/17/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/18/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/19/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/20/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/21/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/22/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/23/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/24/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/25/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/26/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/27/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/28/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/29/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/30/2013,0,0,0,0,0,0,0,0,0,0,0,0
08/31/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/01/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/02/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/03/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/04/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/05/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/06/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/07/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/08/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/09/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/10/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/11/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/12/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/13/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/14/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/15/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/16/2013,0,0,0,0,0,0,0,0,0,0,0,0
09/17/2013,0,0,0,0,0,0,0,0,0,0,0,0
